curriculum,curid,sylid,subjectCode,semester,syllabusName,noCredit,countsGPA,degreeLevel,syllabusEnglish,timeAllocation,preRequisite,description,studentTasks,tools,scoringScale,decisionNo,minAvgMarkToPass,note,approvedDate
BBA_IB_K19D20A,2446,13151,OTP101,0,Định hướng và Rèn luyện tập trung(Orientaiton and General Training Program),0,Không,Bachelor,,"5 weeks (fulltime) = 280h * Module 1: Orientation-Định hướng (1 week: 8h/day * 5 days = 40h) * Module 2: Military Training-Giáo dục quốc phòng (110 slots * 1.5h/slot = 165h) * Module 3: Experience Program 22 slots * 1.5h = 33 h * Module 4: Vovinam 28 slots * 1,5h/slot = 42h",None,"Orientation and general training program includes 4 modules : * Module 1: Orientation Main activities of this module are: - Organizing the opening ceremony for students. - Organizing health check and making students' cards. - Arranging classes for students and organizing class meeting. - Introducing to students about FPT corporation, FPT university, functional departments, training regulations and how to use information systems to support students' learning. - Sharing study skills for university students. - Sharing about topics related to community activities. ( For example: activities towards sustainable development, volunteering activities...) * Module 2: Military training the program prescribed by the Ministry of Education and Training. Implementing the program prescribed by the Ministry of Education and Training. * Module 3: Experience program Main activities of this module are: - Organizing research and review memoirs. - Organizing seminars - Organizing experiential activities for students (Towards sustainable development and volunteering for the community) - Organizing Skill-building extracurricular programs (Training on First Aid and Emergency Response Skills; ...) * Module 4: Vovinam Follow the outline VOV114. Objectives of orientation and training program are: 1) Instruct students to complete procedures before a new semester. 2) Provide students with knowledge about FPT corporation, FPT university and functional departments which support students during the period of study at the university. 3) Introduce to students about Curriculum, FU training model and regulations as well as how to use information systems to enable students to adapt new learning environment. 4) Educate students the fundamentals of military and national security, build and enrich patriotism, national pride through history lessons, seminars, documentaries, field trips to military bases and memoirs about two prolonged resistance wars of Viet Nam. 5) Train the willpower and improve physical strengths, fitness and sense of responsibilities through physical education lessons and combat practice in the field. 6) Train team spirit, disciplines, shape good attitude and behaviors towards friends, teachers and educational environment. 7) Enhance student experiences with extra-curricular activities. Strengthen the sense of community through community and volunteering activities and the ones towards the sustainable development.",Attend enough activities of the university.,,10,932/QĐ-ĐHFPT dated 08/22/2025,0,Min to pass: Students must pass the examination and achieve the Military training certificate,8/22/2025
BBA_IB_K19D20A,2446,13540,VOV114,,Vovinam 1,2,Không,Bachelor,,28 slots,None,"Mục tiêu: Học phần là trang bị cho sinh viên những tri thức cơ bản về môn võ Vovinam, bao gồm kiến thức võ đạo, vệ sinh chung trong tập luyện, hệ thống kỹ thuật căn bảnTrình độ: Sinh viên không chuyên VovinamPhương pháp giảng dạy: Sử dụng các phương pháp dạy truyền thống và hiện đại như: Giảng giải, phân tích thị phạm, dùng hình ảnh trực quan kết hợp với tư duy tích cực của người học, thảo luận, nêu vấn đề, ....; Sử dụng phương tiện chuyên môn cơ bản của giáo dục thể chất (các bài tập thể thao) và các phương tiện về phục vụ dạy học hiện có của nhà trường.Đánh giá học phần: Thực hành: Hệ thống Kỹ thuật căn bản trong môn võ VovinamThể Lực: Hệ thống bài tập phát triển tố chất thể lực chungLý thuyết: Khảo hạch lý thuyết Nội dung giảng dạy: Lý thuyết: * Bài 1: Sơ lược Lịch sử hình thành và phát triển, lý thuyết võ đạo từ câu 01 đến câu 10 (tài liệu nội bộ Vovinam) môn Vovinam* Bài 2: Khái niệm vệ sinh chung trong tập luyện và thi đấu thể thao.* Bài 3: Vệ sinh trang thiết bị, dụng cụ học tập trong tập luyện TDTTThực hành:Tấn pháp: Trung bình tấn; cung tiễn tấn; trảo mã tấn; đinh tấn.Kỹ thuật tay: * 4 lối chém cạnh tay;* 6 lối đấm;* 4 lối gạt cạnh tay;* 4 lối chỏ;Kỹ thuật chân: Đá thẳng; đá cạnh; đá tạt; đá đạp;Thể lực chung: Hệ thống bài tập phát triển tố chất thể lực chung; Sức nhanh, mạnh, bền, mền dẻo, khéo léo","* Dự lớp: Đảm bảo dự ≥ 80% tổng thời lượng của kỳ học. * Bài tập: Thực hiện tốt yêu cầu, nhiệm vụ các bài tập được giao. * Khác: Thường xuyên hoạt động tập luyện ngoại khóa (Sinh hoạt CLB TDTT ngoại khoá, đổi tuyển trường đi thi đấu, được cộng điểm khuyến khích)* Thực hành: Thực hiện các tập; bài kiểm tra; thi lấy điểm.",,10,932/QĐ-ĐHFPT dated 08/22/2025,5,"Điều kiện miễn giảm môn học* Các đối tượng được xét miễn môn học: Học sinh, sinh viên (HSSV) có bằng tốt nghiệp đại học chuyên nghành GDTC, huấn luyện thể thao.* Các đối tượng miễn học, phải thi: Theo quy định của nhà trường, Bộ môn GDTC giao 02 bài tập tại nhà, bài học lý thuyết, thi cuối kỳ tại lớp.* Các đối tượng được miễn tập luyện và thi các nội dung về thể lực thì xem xét chuyển học môn Cờ Vua. + Sinh viên có chứng nhận của cơ quan y tế chị định hạn chế và không tập luyện thể lực vì có nguy cơ đột tử về các bệnh: Tim, hen suyễn, gây chân, gẫy cột sống, xương thủy tinh, phì – võ mạch máu não – tim, thần kinh,.....;+ Các trường hợp có bệnh án của cơ quan ý tế gửi đơn xin xét miễn thể lực và bệnh án nộp về phòng Đào tạo, xem xét từ CNBM để được tư vấn và xem xét+ Có giấy chứng nhận khuyết tật theo quy định của pháp luật, tai nạn dấn đến chấn thương như gẫy tay, gẫy cột sống,....+ Các trường hợp sinh viên theo học từ đầu khóa, trong quá trình học, khônng may rủi ro tai nạn, các vấn đề khác,.......SV sẽ được giao 02 bài tập trị liệu để tập tại nhà, bài học lý thuyết, thi cuối kỳ tại lớp.* Các đối tượng được tạm hoãn học môn GDTC+ Sinh viên vì lý so sức khỏe phải dừng học trong thời gian điều trị, phải có giấy xác nhận của cơ quan ý tế noi sinh viên điều trị. Hết thời gian tạm hoãn, sinh viên đăng ký học lại chương trình GDTC theo từng học phần.+ Sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ thai sản theo quy định hiện hành. Hết thời gian tạm hoãn, sinh viên đăng ký học lại các học phần GDTC theo từng học phần.",8/22/2025
BBA_IB_K19D20A,2446,11834,DTR103,,Nhạc cụ truyền thống-Đàn Tranh,3,Không,Sơ cấp Beginner,Traditional musical instrument,Thời gian học: 30 slot; 90 phút/slot 1 course = 30 slots; 90 minutes/slot,Không None,"1. Kiến thức/ Knowledge: - Nắm được những nét đăc trựng về lịch sử phát triển và cấu trúc Đàn Tranh Understand specific characteristics of the historical development and structure of Dan Tranh. - Làm quen với nhạc lý và những kỹ thuật cơ bản của Đàn tranh (gảy 3 ngón tay phải và kỹ thuật rung tay trái). Familiarize students with music theory and basic techniques of Dan Tranh (use 3 right fingers to pluck the strings and left-hand technique of vibration). - Tìm hiểu về hệ thống chữ nhạc cổ Hò xự xang… Learn about the system of letters Do Re Fa (Hò xự xang)... 2. Kỹ năng/ Skills: - Đánh được tối thiểu 3 bài trong đó có 1 bài nhạc nước ngoài ở mức thông dụng vận dụng được đúng các kỹ thuật cơ bản. Be able to play at least 3 songs including 1 common foreign song and properly apply basic techniques. - Môn học sẽ được triển khai theo đơn vị lớp cỡ khoảng 15 sinh viên/lớp. There will be about 15 students/class. Trong quá trình học, sinh viên sẽ được giới thiệu, hướng dẫn tìm hiểu và thực hành về các nội dung sau: In this course, students will learn: - Lịch sử phát triển của đàn Tranh ở Việt Nam và một số nước (Trung quốc, Hàn quốc, Nhật bản) Historical development of Dan Tranh in Vietnam and some countries (China, Korea, Japan) - Cấu trúc và đặc điểm của đàn Tranh Structure and characteristics of Dan Tranh - Tư thế đánh đàn The playing posture - Nhạc lý và kỹ thuật cơ bản gồm: Music theory and basic techniques, including: + Tìm hiểu về hệ thống chữ nhạc System of letters in music + Gảy ngón ở tay phải Use right fingers to pluck the strings + Rung ở tay trái Left-hand technique of vibration + Kết hợp tay gảy và kỹ thuật rung Combine plucking strings and vibration technique - Luyện tập đánh bài Việt Nam: Vào rừng hoa, Xảng xê, Mã vũ, Lý cây đa Practice: playing Vietnamese songs: Vào rừng hoa, Xảng xê, Mã vũ, Lý cây đa Bài quốc tế: Auld lang syne (dân ca Scotland, hoặc Biến tấu trên chủ đề dân ca Pháp của Mozart.) Foreign songs: Auld lang syne (Scottish folk song, or Variation on the French folk theme by Mozart.) * Sử dụng CNTT trong học phần/ Apply IT in the course a) Cung cấp thông tin, tài nguyên lên mạng : Cung cấp địa chỉ các Website, clip nhạc truyền thống. Update information and resources on the internet: Provide web addresses and traditional music clips. "" b) Sử dụng các tài nguyên trên mạng: Giảng viên sử dụng có chọn lọc trên nguyên tắc của học phần rồi cung cấp cho sinh viên. Hướng dẫn sinh viên tìm thông tin theo các chủ đề nhất định trên mạng Internet. Use of online resources: Lecturers use resources selectively based on course regulations and then provide them to students. Instruct students to find information on certain topics on the Internet."" * Phát triển kỹ năng mềm và phát triển cá nhân trong học phần/ Soft skills development and personal development - Rèn luyện tính kiên trì cho sinh viên, giúp sinh viên tự tin hơn trước đám đông Improve students' perseverance and help them become more confident in front of the crowd "" - Phát triển kỹ năng làm việc theo nhóm, kỹ năng hoạt động độc lập của sinh viên thông quan các nhiệm vụ mà giảng viên giao. Develop students' ability to work in groups and work independently through the tasks assigned by the lecturer.","- Tham dự tối thiểu 80% thời lượng môn học trở lên để đủ điều kiện thi cuối môn học. Attend at least 80% of class hours to be eligible for the final exam. - Thái độ học tập nghiêm túc. Study seriously. - Ôn tập bài cũ và tìm hiểu tài liệu bài học mới trước khi đến lớp. Review previous lessons and study materials for new lessons in advance. - Luyện tập, thực hành trên lớp và ở nhà. Practice in class and at home. - Tích cực tham gia hoạt động giảng viên yêu cầu trên trong lớp (phát biểu, hỏi đáp, trao đổi, làm việc nhóm, thực hành...) và làm Portfolio cho môn học. Actively participate in class activities required by the lecturer (express ideas, raise questions, discuss, work in groups, practice...) and make a Portfolio for the subject.",Nhạc cụ cho từng sinh viên Musical instruments for each student,10,862/QĐ-ĐHFPT dated 08/16/2024,5,Bài tập: 15% Assignment: 15% Điểm ý thức tham gia lớp học: 15% Participation: 15% Thi cuối môn học: Điểm thực hành chơi nhạc cụ theo yêu cầu: 70% (=>4 điểm) Final exam: Playing musical instruments as required: 70% (=>4 points) Tổng điểm FE: =>5 Final Result: >=5,8/16/2024
BBA_IB_K19D20A,2446,13497,ECO111,1,Microeconomics_Kinh tế vi mô,3,Có,Bachelor in Business Administration,Microeconomics,Study hour (150h) = 45h (60 sessions) contact hours + 1h final exam + 104h self-study,None,"Economics is the study of how the society manages its scarce resources. Economics has been divided into the subcategories of microeconomics and macroeconomics. While macroeconomics studies aggregate issues related to national and international economic activities, this course - microeconomics - focuses on the behavior of individual economic agents. Microeconomics studies how households (or individuals), business (or firms, enterprises) and the government make decisions, given scarcity of resources. It also studies the interactions among those market members and how these interactions have impacts on their economic benefits and the economy. Because most of these activities occur in the markets, this course also focuses on how the markets work.","+ Class attendance is strongly encouraged. Attend at least 80% of class hours in order to be accepted to the final examination + Read textbooks and other materials in advance before class + Actively participate in class activities + Complete all homework assignments and other tasks given by the instructor + Use personal laptop in class only for learning purposes + Don’t have private conversations or arrive at class late, which can disrupt the learning environment of the class",,10,1318/QĐ-ĐHFPT dated 11/27/2025,5,,11/27/2025
BBA_IB_K19D20A,2446,13252,ENM302,1,Business English – Level 1_Tiếng Anh Thương mại - Cấp 1,3,Có,Undergraduate,Business English – Level 1,Study hour (150h) = 45 contact hours (60 sessions) + 100-minute final exam + 103.25 hours self-study1 session = 45 minutes,None,"This course is designed to help students further improve their ability to communicate in English in a wide range of business and business-related situations. It also helps students develop the necessary knowledge and skills to succeed in business. In addition to the business-focused contents, the course is enhanced with supplementary activities corresponding to the Common European Framework of Reference for Languages. In particular, the course will help students:* communicate effectively in discussions, meetings, negotiations, socialization events* acquire and effectively use professional skills including telephoning, presentations, correspondence exchange, decision-making, and problem-solving.* enrich knowledge of business trends in the fast-changing world*apply AI tools effectively and ethically to support business communication, research, language enhancement, and workplace tasks.* enhance students' employability","- Attend at least 80% of contact hours in order to be accepted to the final examination- Actively participate in class activities- Fulfil tasks given by intructor after class- Use their own laptop in class only for learning purpose- Use AI tools effectively and responsibly- Access the course website (https://fu-edunext.fpt.edu.vn/) for group discussions to construct knowledge, for practicing and assessment","1. AI Tools for brainstorming ideas and writing - ChatGPT- Mindmeister- Mapify2. AI Tools to design tests for self-learning- ChatGPT- Twee- Edpuzzle- Quizziz AI- EasyGrader3. AI Tools for business-related skills and video making - ChatGPT - Click-up- SimpleKIP- VEED, InvideoAI",10,932/QĐ-ĐHFPT dated 08/22/2025,5,,8/22/2025
BBA_IB_K19D20A,2446,14193,MGT103,1,Introduction to Management_Nhập môn quản lý,3,Có,Bachelor,Introduction to Management,Study hour (150h) = 45h (60 sessions) contact hours + 1h final exam + 104h self-study,,"The course explores and focuses around the managerial functions of management, including planning, organizing, leading and controlling. The course is designed to provide basic knowledge and skills required in management and give students a comprehensive insight into human relations componnents that characterise any managerial roles, regardless of industry or functions. Various aspects of management theories will be examined and linked to current management practice in the world and Vietnam. Learning in the class will be facilitated through the use of interactive tools such as group exercise, case study discussion, role-play/activities, and projects.",- Attend at least 80% of contact hours in order to be accepted to the final examination - Actively participate in class activities- Fulfill tasks given by instructor after class - Use their own laptop in class only for learning purpose - Read the textbook in advance,,10,377/QĐ-ĐHFPT dated 04/09/2026,5,,4/9/2026
BBA_IB_K19D20A,2446,13458,MKT101,1,Marketing Principles_Nguyên lý Marketing,3,Có,Bachelor in Business Administration,Marketing Principles,Study hour (150h) = 45h (60 sessions) contact hours + 1h final exam + 104h self-study,None,"The course is designed to provide students with a strong foundation in marketing based on five key activities: (1) identifying customer needs, (2) providing customers with the right products or service to meet their needs, (3) assuring availability to customers through the right distribution channels, (4) using promotional activities in ways that motivate purchase as effectively as possible, (5) setting an appropriate price that maximizes firm profitability while maintaining customer satisfaction. The Principle of Marketing course (Philip Kotler) integrates AI tools as supportive instruments for idea generation, document organization, and the practical application of marketing concepts. Students will employ AI for brainstorming, content structuring, creation of marketing materials, and basic analytics, while retaining full responsibility for ensuring originality, critical evaluation, and refinement of their work. The course also equips students to assess the strengths and limitations of AI-generated outputs and to identify ethical risks such as plagiarism and bias. Tools Utilized: - lmarena AI: For generating marketing-related data and insights. - Statista: For accessing statistical data and market research. - ChatGPT: For idea generation, structuring documents, and simulating real-life marketing scenarios. - Canva: For creating visual marketing materials like infographics, templates, and videos. The assessment methods have been reformed to more accurately reflect students’ actual competencies. Learners are evaluated through oral examinations, presentations, group debates, and the assessment of submitted products, as well as through their selection of prompts, which demonstrate their thinking process, revisions, and interactions with AI feedback.","- Attend at least 80% of contact hours in order to be accepted to the final examination - Actively participate in class activities - Fulfill tasks given by instructor after class - Use their own laptop in class only for learning purpose - Read the textbook in advance - Access the course website (www.flm.fpt.edu.vn) for up-to-date information and material of the course, for online supports from teachers and other students and for practicing and assessment.",,10,932/QĐ-ĐHFPT dated 08/22/2025,5,,8/22/2025
BBA_IB_K19D20A,2446,13539,VOV124,,Vovinam 2,2,Không,Bachelor,,28 slots,Passed VOV114,"Mục tiêu: Học phần nhằm trang bị cho sinh viên kiến thức cơ bản võ đạo, vệ sinh học trong tâp luyện TDTT và 10 chiến lược trong môn võ Vovinam.Trình độ: Sinh viên không chuyên VovinamPhương pháp giảng dạy: Sử dụng các phương pháp dạy truyền thống và hiện đại như: Giảng giải, phân tích thị phạm, dùng hình ảnh trực quan kết hợp với tư duy tích cực của người học, thảo luận, nêu vấn đề, ......;Sử dụng phương tiện chuyên môn cơ bản của giáo dục thể chất (các bài tập thể thao) và các phương tiện về phục vụ dạy học hiện có của nhà trường.Đánh giá học phần: Thực hành: Kỹ thuật chiến lược Vovinam Việt Võ ĐạoThể Lực: Hệ thống bài tập thể lực phát triển thể lực chung Lý thuyết: Kiến thức võ đạo & Kiến thức vệ sinh học trong tập luyện TDTTNội dung giảng dạy:*Bài 1: Lý thuyết võ đạo từ câu 11 đến câu 30*Bài 2: Vệ sinh trong một buổi tập luyện TDTT*Bài 3: Khái niệm cơ bản Vệ sinh dinh dưỡng trong tập luyện TDTTThực hành:* Chiến lược: Từ 1 - 10* Bài tập thể lực chung: Hệ thống các bài tập phát triển tố chất thể lực chung; sức nhanh, mạnh, bền, mền deo, khéo léo","* Dự lớp: Đảm bảo dự ≥ 80% tổng thời lượng của kỳ học.* Bài tập: Thực hiện tốt yêu cầu, nhiệm vụ các bài tập được giao.* Khác: Thường xuyên hoạt động tập luyện ngoại khóa. (Sinh hoạt CLB TDTT ngoại khoá, đổi tuyển trường đi thi đấu, được cộng điểm khuyến khích)* Thực hành: Thực hiện các tập; bài kiểm tra; thi lấy điểm.",,10,932/QĐ-ĐHFPT dated 08/22/2025,5,"Điều kiện miễn giảm môn học* Các đối tượng được xét miễn môn học: Học sinh, sinh viên (HSSV) có bằng tốt nghiệp đại học chuyên nghành GDTC, huấn luyện thể thao.* Các đối tượng miễn học, phải thi: Theo quy định của nhà trường, Bộ môn GDTC giao 02 bài tập tại nhà, bài học lý thuyết, thi cuối kỳ tại lớp.* Các đối tượng được miễn tập luyện và thi các nội dung về thể lực thì xem xét chuyển học môn Cờ Vua. + Sinh viên có chứng nhận của cơ quan y tế chị định hạn chế và không tập luyện thể lực vì có nguy cơ đột tử về các bệnh: Tim, hen suyễn, gây chân, gẫy cột sống, xương thủy tinh, phì – võ mạch máu não – tim, thần kinh,.....;+ Các trường hợp có bệnh án của cơ quan ý tế gửi đơn xin xét miễn thể lực và bệnh án nộp về phòng Đào tạo, xem xét từ CNBM để được tư vấn và xem xét+ Có giấy chứng nhận khuyết tật theo quy định của pháp luật, tai nạn dấn đến chấn thương như gẫy tay, gẫy cột sống,....+ Các trường hợp sinh viên theo học từ đầu khóa, trong quá trình học, khônng may rủi ro tai nạn, các vấn đề khác,.......SV sẽ được giao 02 bài tập trị liệu để tập tại nhà, bài học lý thuyết, thi cuối kỳ tại lớp.* Các đối tượng được tạm hoãn học môn GDTC+ Sinh viên vì lý so sức khỏe phải dừng học trong thời gian điều trị, phải có giấy xác nhận của cơ quan ý tế noi sinh viên điều trị. Hết thời gian tạm hoãn, sinh viên đăng ký học lại chương trình GDTC theo từng học phần.+ Sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ thai sản theo quy định hiện hành. Hết thời gian tạm hoãn, sinh viên đăng ký học lại các học phần GDTC theo từng học phần.",8/22/2025
BBA_IB_K19D20A,2446,12594,SSL101c,1,Academic Skills for University Success_Kỹ năng học tập ở Đại học,3,Có,Bachelor,,42 hours online + 4.5 hrs offline (3 slots) + 1hr exam + 102.5 hours self-study,None,"Upon finishing the course, students can: 1) Knowledge: Understand - Method to develop your Information & Digital Literacy Skills - Method to develop your Problem Solving and Creativity Skills - How to develop your Critical Thinking Skills - How to develop your Communication Skills 2) Able to (ABET) - Access, search, filter, manage and organize Information by using a variety of digital tools, from wide variety of source for use in academic study. - Critically evaluate the reliability of sources and use digital tools for referencing in order to avoid plagiarism. - Demonstrate awareness of ethical issues related to academic integrity surrounding the access and use of information - Develop a toolkit to be able to identify real problems and goals within ill-defined problem & Recognize and apply analytical & creative problem solving technique - Use a variety of thinking tools to improve critical thinking - Identify types of argument, and bias within arguments - Demonstrate, negotiate, and further understanding through spoken, written, visual, and conversational modes - Effectively formulate arguments and communicate research findings through the process of researching, composing, and editing 3) Others: (ABET) - Improve study skills (academic reading, information searching, ...)","1. Join the online course (spec.) when being invited by the admin. 2. Enroll in each MOOC of spec., regularly study MOOCs at least 5hrs/week by watching videos, reading materials, taking quizzes, doing assignments... as required 3. Respect the Coursera Code of Conduct, at https://learner.coursera.help/hc/en-us/articles/208280036-Coursera-Code-of-Conduct 3. Keep online learning progress promptly (bonus will be awarded) 4. Communicate and discuss in forum 5. Attend off-line sessions in the Campus (Optional) 6. Must complete all MOOCs of spec. with certification in order to take the Final Exam at Campus","Online Spec. https://www.coursera.org/specializations/academic-skills; University of Sydney, including: - MOOC1: Introduction to Information & Digital Literacy for University Success , https://www.coursera.org/learn/digital-literacy/home/welcome - MOOC2: Introduction to Problem-Solving Skill for University Success, https://www.coursera.org/learn/problem-solving-skills/home/welcome - MOOC3: Critical Thinking Skills for University Success, https://www.coursera.org/learn/critical-thinking-skills/home/welcome - MOOC4: Communication Skills for University Success, https://www.coursera.org/learn/communication-skills/home/welcome - MOOC5: Academic Skills for University Success: Capstone, https://www.coursera.org/learn/academic-skills-project/home/welcome",10,359/QĐ-ĐHFPT dated 04/09/2025,5,"1) Ongoing assessment: Students who complete all MOOCs before the course deadline will receive 1 bonus point; otherwise, no bonus point will be awarded. 2) Theoretical Exam (TE) 3) Final Result (FR) =min (10, TE + Bonus) 4) Completion Criteria: TE>=4 and FR>=5",4/9/2025
BBA_IB_K19D20A,2446,14030,ACC101,2,Principles of Accounting_Nguyên lý kế toán,3,Có,Bachelor in Business Administration,Principles of Accounting,Study hour (150h) = 45h (60 sessions) contact hours + 1h final exam + 104h self-study,None,"Main objectives: Upon completion of this course, students should: 1. Have clear understanding of ideas, principles, and techniques of accounting 2. Have the knowledge and tools to better understand business performance issues, and the decisions and problems faced by managers; 3. Understand the important role of accounting and finance in all organizations, in all jobs, and its link with the development of increasingly sophisticated IT systems. Specific objectives : 1. Recognize and organize accounting transactions 2. Classify and calculate correctly in terms of revenue, cost, profit or loss in an account 3. Be able to prepare comprehensive and accurate financial statements Description: The main content is structured into twelve chapters covering Financial Accounting, Management Accounting, and Business Finance. Topics include: business transaction, financial statement format and analysis, inventory and accounts receivable, type of assets and liabilities, costing classification, master budget and capital budgeting A key feature of this course is the integration of artificial intelligence (AI) tools and applications, which enable students to constructivist questions while maintaining their critical thinking and originality.","- Class attendance is strongly encouraged. Attend at least 80% of class hours in order to be accepted to the final examination - Actively participate in class activities - Fulfill tasks given by instructor after class - Use their own laptop in class only for learning purpose - Read the textbook in advance - Access the course website (http://flm.fpt.edu.vn) for up-to-date information and material of the course, for online supports from teachers and other students and for practicing and assessment.",,10,377/QĐ-ĐHFPT dated 04/09/2026,5,,4/9/2026
